"Year","Month","Day","DOY","EVI"
1984,6,10,162,0.67853651
1984,9,7,251,0.61640749
1984,9,23,267,0.54540317
1984,9,30,274,0.48055424
1984,10,16,290,0.26521566
1984,11,1,306,0.14134416
1985,3,2,61,0.16089014
1985,3,25,84,0.16673522
1985,4,10,100,0.17719235
1985,4,26,116,0.19918362
1985,6,22,173,0.70985625
1985,8,9,221,0.67172141
1985,9,1,244,0.57890163
1985,9,17,260,0.56370907
1985,9,26,269,0.41558195
1985,10,12,285,0.37556723
1985,10,28,301,0.21186594
1986,1,7,7,0.15441624
1986,1,16,16,0.15441624
1986,3,28,87,0.18339005
1986,4,13,103,0.1856653
1986,4,29,119,0.19371897
1986,5,15,135,0.31221771
1986,6,9,160,0.69358649
1986,6,16,167,0.04020893
1986,7,11,192,0.67334178
1986,7,18,199,0.61873465
1986,9,13,256,0.52304105
1986,10,15,288,0.26536647
1986,10,22,295,0.20262603
1986,10,31,304,0.17615456
1987,2,11,42,0.15441624
1987,2,27,58,0.15441624
1987,3,8,67,0.15441624
1987,3,15,74,0.15441624
1987,3,24,83,0.15441624
1987,4,25,115,0.20701617
1987,5,2,122,0.17585593
1987,5,18,138,0.31222555
1987,8,6,218,0.62493085
1987,9,23,266,0.59165664
1987,10,9,282,0.40171754
1987,10,25,298,0.2557787
1988,1,29,29,0.15441624
1988,2,14,45,0.15441624
1988,3,1,61,0.15441624
1988,3,17,77,0.15441624
1988,5,4,125,0.18966352
1988,5,13,134,0.24869996
1988,5,29,150,0.59625127
1988,6,5,157,0.62750629
1988,6,14,166,0.65038587
1988,6,21,173,0.59856478
1988,6,30,182,0.78985938
1988,7,16,198,0.69005858
1988,8,1,214,0.68298313
1988,9,2,246,0.57690626
1988,9,25,269,0.48389555
1988,10,20,294,0.18282598
1988,10,27,301,0.24752292
1988,11,12,317,0.20146155
1988,12,14,349,0.15441624
1988,12,30,365,0.13827767
1989,1,24,24,0.14244167
1989,3,13,72,0.19543736
1989,3,20,79,0.14301154
1989,4,5,95,0.17850651
1989,4,14,104,0.20976092
1989,5,7,127,0.20246825
1989,7,3,184,0.6859664
1989,7,19,200,0.66618222
1989,7,26,207,0.65346408
1989,8,4,216,0.71534667
1989,8,27,239,0.5487226
1989,9,5,248,0.61425434
1989,9,28,271,0.53154163
1989,10,14,287,0.32978605
1989,10,23,296,0.24753681
1989,10,30,303,0.19959789
1989,12,17,351,0.15441624
1990,4,24,114,0.16098527
1990,5,3,123,0.20917087
1990,7,29,210,0.66471555
1990,8,30,242,0.55957716
1990,9,8,251,0.61000282
1990,10,1,274,0.47067754
1990,10,17,290,0.31407223
1990,11,11,315,0.20563347
1990,12,20,354,0.16472377
1991,1,5,5,0.08548844
1991,3,10,69,0.15413676
1991,4,4,94,0.18504261
1991,4,11,101,0.18803928
1991,4,27,117,0.19215559
1991,5,13,133,0.36978094
1991,5,22,142,0.62536121
1991,5,29,149,0.67022661
1991,6,7,158,0.72735415
1991,6,23,174,0.65311277
1991,7,9,190,0.72929758
1991,7,16,197,0.65142692
1991,8,1,213,0.61981222
1991,8,17,229,0.59407791
1991,8,26,238,0.63861651
1991,9,2,245,0.57318635
1991,10,4,277,0.40110186
1991,10,13,286,0.32560607
1991,10,20,293,0.25715801
1991,10,29,302,0.19599988
1992,1,1,1,0.15441624
1992,1,8,8,0.12944166
1992,2,2,33,0.15926342
1992,2,9,40,0.15441624
1992,2,18,49,0.1161733
1992,3,21,81,0.15085958
1992,4,6,97,0.17184176
1992,4,13,104,0.16059382
1992,5,15,136,0.21284342
1992,6,9,161,0.6386815
1992,6,16,168,0.65123757
1992,6,25,177,0.26922324
1992,7,11,193,0.69680294
1992,8,19,232,0.55069758
1992,9,20,264,0.54540261
1992,9,29,273,0.53967424
1992,10,6,280,0.49142917
1992,11,16,321,0.18462029
1993,1,10,10,0.11635846
1993,1,19,19,0.15441624
1993,1,26,26,0.12295715
1993,2,11,42,0.15441624
1993,2,20,51,0.15441624
1993,2,27,58,0.15441624
1993,3,15,74,0.15441624
1993,4,25,115,0.19568054
1993,5,2,122,0.18903592
1993,5,11,131,0.35928901
1993,6,3,154,0.6253187
1993,6,12,163,0.63282848
1993,7,5,186,0.65503803
1993,7,14,195,0.68377045
1993,7,30,211,0.65260155
1993,8,31,243,0.65616776
1993,10,2,275,0.49574133
1993,10,18,291,0.36148064
1993,10,25,298,0.24968675
1993,11,10,314,0.18020173
1993,12,12,346,0.15441624
1994,2,7,38,0.15441624
1994,3,2,61,0.15441624
1994,3,18,77,0.15441624
1994,4,28,118,0.19708138
1994,5,14,134,0.24369271
1994,5,21,141,0.3216052
1994,6,22,173,0.67759171
1994,8,9,221,0.60387968
1994,8,25,237,0.60010197
1994,9,3,246,0.59742035
1994,9,10,253,0.55631132
1994,10,12,285,0.36100011
1994,10,28,301,0.2205805
1994,11,22,326,0.18499383
1995,1,9,9,0.15441624
1995,2,1,32,0.10381827
1995,2,17,48,0.15441624
1995,4,6,96,0.17594323
1995,5,8,128,0.15483546
1995,6,9,160,0.61515396
1995,6,18,169,0.68847071
1995,7,4,185,0.73904116
1995,7,20,201,0.71810544
1995,7,27,208,0.67638791
1995,8,21,233,0.6416661
1995,9,6,249,0.64091177
1995,10,24,297,0.26808576
1995,11,9,313,0.21359819
1995,11,16,320,0.15593716
1995,12,2,336,0.15441624
1996,5,26,147,0.4971472
1996,6,27,179,0.61356019
1996,7,29,211,0.59003779
1996,8,14,227,0.59968609
1996,8,30,243,0.58555571
1996,9,15,259,0.56748295
1996,10,1,275,0.511533
1996,10,17,291,0.32747941
1997,1,21,21,0.15346505
1997,4,27,117,0.17408875
1997,5,29,149,0.37946429
1997,6,14,165,0.7519244
1997,6,30,181,0.72573418
1997,10,20,293,0.30620932
1997,11,5,309,0.24165523
1998,2,2,33,0.15441624
1998,2,9,40,0.15441624
1998,4,14,104,0.18649856
1998,5,16,136,0.45821721
1998,6,10,161,0.69153221
1998,7,3,184,0.6755095
1998,8,13,225,0.61304867
1998,8,20,232,0.57976991
1998,8,29,241,0.59932413
1998,11,24,328,0.17220868
1998,12,10,344,0.15164139
1999,3,9,68,0.15441624
1999,3,25,84,0.20052943
1999,4,10,100,0.20889712
1999,4,26,116,0.19096442
1999,5,12,132,0.28980156
1999,5,28,148,0.53797338
1999,6,4,155,0.65484562
1999,7,7,188,0.74285329
1999,7,15,196,0.70530513
1999,7,22,203,0.64418209
1999,7,30,211,0.67767599
1999,7,31,212,0.67205857
1999,8,7,219,0.66643502
1999,8,16,228,0.67095716
1999,8,23,235,0.61835615
1999,8,31,243,0.60936801
1999,9,1,244,0.63058808
1999,9,24,267,0.55963881
1999,9,25,268,0.47371466
1999,10,2,275,0.53668981
1999,10,26,299,0.2898013
1999,10,27,300,0.29963646
1999,11,3,307,0.18216109
1999,11,11,315,0.21381703
1999,11,12,316,0.22758069
1999,11,19,323,0.18062816
1999,11,28,332,0.06470467
1999,12,5,339,0.17674683
2000,1,6,6,0.17565204
2000,1,22,22,0.15441624
2000,1,30,30,0.15441624
2000,2,15,46,0.15441624
2000,2,23,54,0.15441624
2000,3,10,70,0.173501
2000,3,18,78,0.15441624
2000,3,19,79,0.15441624
2000,3,26,86,0.18212063
2000,3,27,87,0.18832961
2000,4,11,102,0.16282136
2000,5,14,135,0.35800281
2000,5,30,151,0.57139589
2000,6,30,182,0.72430489
2000,7,1,183,0.67821549
2000,8,25,238,0.57892917
2000,9,10,254,0.52758397
2000,9,18,262,0.54779438
2000,9,27,271,0.52859581
2000,10,12,286,0.4080246
2000,10,13,287,0.42418737
2000,10,20,294,0.30222811
2000,10,21,295,0.29043452
2000,11,21,326,0.18172599
2000,11,22,327,0.20670293
2000,11,29,334,0.18733579
2000,12,23,358,0.15441624
2001,1,25,25,0.15441624
2001,2,18,49,0.15441624
2001,4,7,97,0.15441624
2001,4,22,112,0.17700789
2001,4,23,113,0.20173668
2001,4,30,120,0.1964539
2001,5,8,128,0.3454801
2001,5,9,129,0.43019705
2001,6,1,152,0.6353518
2001,6,9,160,0.64820176
2001,6,10,161,0.73333251
2001,6,18,169,0.72748434
2001,6,26,177,0.75751387
2001,7,3,184,0.70747805
2001,7,12,193,0.82979811
2001,7,27,208,0.66637672
2001,7,28,209,0.76109003
2001,8,28,240,0.65091288
2001,8,29,241,0.70293246
2001,9,5,248,0.63831486
2001,9,6,249,0.62318564
2001,9,13,256,0.6170145
2001,9,22,265,0.52907438
2001,9,29,272,0.54980864
2001,9,30,273,0.583866
2001,10,24,297,0.29739997
2001,11,1,305,0.26382066
2001,11,8,312,0.23456349
2001,11,9,313,0.24095507
2001,11,17,321,0.22710232
2001,12,3,337,0.22290213
2001,12,10,344,0.15441624
2001,12,11,345,0.03836651
2001,12,19,353,0.15441624
2001,12,26,360,0.17750863
2001,12,27,361,0.1875859
2002,1,3,3,0.1813516
2002,1,20,20,0.15441624
2002,1,27,27,0.15441624
2002,2,5,36,0.15441624
2002,2,28,59,0.15441624
2002,3,25,84,0.15441624
2002,4,10,100,0.20961946
2002,4,17,107,0.19179837
2002,5,4,124,0.232953
2002,5,11,131,0.30033422
2002,6,4,155,0.63844775
2002,6,21,172,0.68146521
2002,6,29,180,0.70749292
2002,7,6,187,0.72755408
2002,7,14,195,0.55049134
2002,7,22,203,0.6753403
2002,7,23,204,0.70192757
2002,7,31,212,0.69231775
2002,8,7,219,0.71060044
2002,8,23,235,0.66912501
2002,9,8,251,0.61482605
2002,9,9,252,0.61690889
2002,9,17,260,0.62453896
2002,10,18,291,0.45168023
2002,10,27,300,0.40869286
2002,11,3,307,0.31532276
2002,11,20,324,0.15441624
2002,12,29,363,0.15441624
2003,1,14,14,0.15441624
2003,1,15,15,0.15441624
2003,1,22,22,0.15441624
2003,1,30,30,0.15441624
2003,2,8,39,0.15441624
2003,2,15,46,0.15441624
2003,3,3,62,0.15441624
2003,3,4,63,0.15441624
2003,3,11,70,0.15441624
2003,3,19,78,0.15441624
2003,3,27,86,0.14885156
2003,4,13,103,0.19825245
2003,4,21,111,0.19139334
2003,4,28,118,0.18033356
2003,4,29,119,0.19188157
2003,5,7,127,0.22553652
2003,6,15,166,0.66800939
2003,6,24,175,0.68277991
2003,7,1,182,0.72548649
2003,7,10,191,0.65671405
2003,7,17,198,0.67304881
2003,7,26,207,0.60274774
2003,8,19,231,0.66552219
2003,8,26,238,0.63619492
2003,8,27,239,0.64997616
2003,9,12,255,0.6083096
2003,10,13,286,0.41178714
2003,11,14,318,0.18083499
2003,11,15,319,0.15963504
2003,11,22,326,0.14118904
2003,12,8,342,0.15441624
2004,1,9,9,0.15441624
2004,1,17,17,0.15441624
2004,1,25,25,0.15441624
2004,2,2,33,0.15441624
2004,2,19,50,0.15441624
2004,2,26,57,0.15441624
2004,3,13,73,0.15441624
2004,3,22,82,0.15441624
2004,3,29,89,0.16837599
2004,4,6,97,0.18416882
2004,4,30,121,0.15738434
2004,5,17,138,0.56449741
2004,6,9,161,0.64067815
2004,7,3,185,0.65499913
2004,7,20,202,0.71796099
2004,8,20,233,0.61617925
2004,8,29,242,0.6306682
2004,9,6,250,0.58246457
2004,9,22,266,0.6100693
2004,10,7,281,0.47411575
2004,10,8,282,0.49866424
2004,11,1,306,0.25709102
2004,11,8,313,0.18697731
2004,12,3,338,0.13336076
2004,12,18,353,0.1658015
2005,1,20,20,0.15441624
2005,1,27,27,0.15441624
2005,2,5,36,0.15441624
2005,2,20,51,0.15441624
2005,3,9,68,0.15441624
2005,3,16,75,0.15441624
2005,3,17,76,0.15441624
2005,4,9,99,0.19101939
2005,4,10,100,0.20140839
2005,4,17,107,0.17768049
2005,4,18,108,0.1969804
2005,4,26,116,0.21605349
2005,5,12,132,0.27275514
2005,5,28,148,0.4677673
2005,6,4,155,0.59604047
2005,6,5,156,0.68501072
2005,6,21,172,0.64308682
2005,7,15,196,0.70199687
2005,8,8,220,0.65786056
2005,9,8,251,0.59485395
2005,9,24,267,0.5578483
2005,10,2,275,0.54551506
2005,10,3,276,0.57477488
2005,11,3,307,0.27666031
2005,11,19,323,0.18964105
2005,11,20,324,0.19476069
2005,12,21,355,0.15441624
2006,2,15,46,0.15441624
2006,2,16,47,0.15441624
2006,3,11,70,0.19485181
2006,3,20,79,0.19287482
2006,3,27,86,0.18140078
2006,4,12,102,0.19403875
2006,4,20,110,0.17630195
2006,4,21,111,0.1927339
2006,4,28,118,0.19383635
2006,4,29,119,0.19682865
2006,5,7,127,0.24599996
2006,5,22,142,0.38488745
2006,5,30,150,0.54299367
2006,5,31,151,0.63733741
2006,6,16,167,0.65838104
2006,7,1,182,0.63170569
2006,7,9,190,0.65908021
2006,7,17,198,0.6442489
2006,7,18,199,0.68420542
2006,7,25,206,0.62399825
2006,7,26,207,0.66441996
2006,8,2,214,0.59332167
2006,8,3,215,0.6628967
